Unnamed: 0,"TOYOTA 
RAV4EU
2013","PSA
4008
2017","GEELY
BOYUE
2018","YEMA
 T70
2016","YEMA
BOJUN
2017","BMW
325Li
2021","TOYOTA 
CAMRY2.5
2018","BUICK
ENVISION
2019","BYD
Yuan
2019","CHANGAN
CS75plus
2020","HONDA
AVANCIER
2020","Great Wall
ORA R1
2019","TESLA
Model 3
2019","CHANGAN
CS75
2016","ROEWE
EI5
2018","CHERY
RUIHU7
2007","HOZON
Neta U
2019","HOZON
Neta S
2022","TOYOTA
RAV4
2017","BYD
Song EV300
2017","HONDA
CIVIC
2020","BAIC
C20
2015","LiFan
X60
2015
curb","LiFan
X60
2015
Full","BMW 
325i
2021 
Curb","BMW
X1","BMW 
X5","BMW
X7","BMW
520i","VW
Passat
2018","BYD
HAN EV","VW
Tiguan
2012","VW
GOLF VII
2015","Tesla
Model X
2017","Tesla
Model Y
2020","JAGUAR
I-PACE
EV400","BMW 
325i
2018 ","VW
ID 4","Ford
EDGE
2015","AUDI
Q5
2018","ChangAn
EADO
2011","ChangAn
RAETON
2011","Chevrolet
BOLT
2017","FORD
Eco Sport
2013","Geely
BoYue
2016","GreetWall
M4
2014","HONDA
XRV
2017","Hyundai
iX35
2014","MAZDA
ATENZA
2018","TOYOTA
ALPHARD
2017","GAC
Trumpchi GS4
2016","QoRos
CF16
2015","MAZDA
CX5
2015","NISSAN
E-Leaf
2015","NISSAN
QASHQAI
2012","SUZUKI
Alzo 8
2017","Tesla
Model S
2017","GAC
GM8
2020","BMW 
X3
2012","NISSAN
NAVARA
2017","LongRiver
EV01
2016","Xpeng
P7
2020","Merceds
E320
2019","VW
UP
2015","JAGUAR
F-PACE
2016","AUDI
A6L
2014","AUDI
Q7
2017","HONDA
CRV
2012","SKODA
KODIAQ
2017","VW
Tiguan L
2017","VW
Teramont
2019","JiangLing
YuSheng S350
2016","TOYOTA
Hilux
2014","TOYOTA
Yaris
2017","QOROS
CF11
2012"
Bump Camber,-18.0,2.3,-30.0,-17.3,-2.2,-22.84,-17.3,-28.9,-1.6,-16.5,-3.4,-2.84,-17.2,-16.9,-1.9,-21.9,-22.9,-24.4,-18.8,-20.2,-29.5,-18.5,-30.3,-28.18,-20.566,-31.0,-19.0,-19.0,-1.0,-14.99,-13.91,-17.98,-2.0,-21.981,-16.5,-25.27,-20.34,-21.86,-23.1,-18.86,-1.867,-18.34,-5.367,-2.518,-28.39,-1.337,-1.666,-21.44,-23.81,-29.43,-20.86,-20.8,-23.1,-2.292,-33.31,-1.813,-24.78,-25.47,-27.46,-2.42,-2.593,-20.99,-22.48,-2.262,-24.7,-10.3,-16.8,-15.3,-15.3,-13.9,-16.12,-1.9,-1.2,-1.0,-1.4
Bump Steer,3.6,-2.5,1.4,4.2,2.6,1.4,4.1,0.5,3.6,2.9,4.6,1.3,4.3,2.6,2.4,3.8,3.5,5.0,3.7,0.2,5.5,3.2,2.1,1.9475,1.274,3.0,0.4848,2.0,3.0,2.085,2.576,2.302,1.598,0.05,2.25,2.034,2.272,0.06413,5.2,3.025,3.996,1.241,2.367,3.418,0.604,0.8154,3.18,7.424,4.68,3.46,2.143,3.849,1.269,2.33,7.582,2.281,4.556,3.45,4.317,0.08171,5.741,1.261,2.517,2.147,4.14,1.79,1.59,4.4,1.666,1.19,3.0,0.44288,-0.6,-1.0,2.9
Bump Castor,-103.9,,-100.7,-106.0,,-52.9,-110.6,-98.3,-152.4,-105.0,-98.0,-148.3,-51.7,-104.9,-125.7,-102.0,-105.3,-26.5,-103.4,-7.2,-108.0,-100.6,-100.04,-100.225,-47.814,,,,,-109.6,-97.2,-109.3,-126.6,-40.341,-43.6,-74.89,-49.87,,-54.24,-47.77,-14.01,-6.092,-151.2,-152.2,-101.1,-13.59,-141.7,-104.0,-99.0,-103.3,-112.7,-100.8,-99.67,-139.8,-92.67,-154.5,-37.78,,-50.86,-45.82,-163.7,-22.78,-40.99,-14.3,-72.7,-54.7,-45.9,-12.4,-105.2,-106.0,-101.29,-40.891,-14.83,-14.1,-120.2
Bump Ride Rate,,,,,,,21.0,28.4,29.2,28.0,26.0,18.1,,30.9,23.6,20.4,28.4,29.8,28.1,29.9,23.9,28.3,22.2,25.7,29.8,34.001,46.737,32.18,18.648,22.76,33.24,25.2,20.6,34.59,37.6,35.9,33.37,43.05,32.91,38.21,21.53,22.99,31.09,27.52,26.01,17.71,19.67,24.5,26.36,32.43,25.91,31.01,25.79,26.72,26.66,12.76,38.1,,42.57,38.0,28.95,46.09,32.58,16.8,46.64,25.3,34.9,29.7,27.26,28.7,33.522,33.96,34.37,19.083,26.3
Bump Track Change,-113.0,18.7,-1.37,-60.0,7.4,301.3,73.2,,,50.0,-68.3,26.8,92.3,6.9,33.7,302.6,124.2,-59.0,72.7,519.3,-58.3,-23.7,-47.5,30.655,96.2,108.0,84.0,32.0,-1.0,264.3,112.3,148.8,1.13,36.0,99.9,79.5,126.1,11.8,122.9,70.5,54.14,284.2,18.24,20.18,33.13,17.68,73.27,183.8,10.71,144.0,209.9,59.48,280.7,16.55,116.8,-9.553,113.0,140.5,-149.7,1.7,33.5,3.68,30.8,46.79,47.4,,35.7,,31.36,41.5,38.209,71.0,13.16,1.0,
Bump Tyre Rate,244.0,237.0,239.0,260.0,231.0,321.0,313.0,267.0,226.0,240.0,245.0,181.0,350.0,239.0,225.3,247.0,237.6,299.0,239.0,244.0,220.0,218.0,258.0,278.25,320.531,267.87,339.965,387.68,219.781,262.1,312.3,234.5,209.4,409.42,331.0,327.2,336.7,314.4,281.3,284.8,205.5,246.9,242.7,248.3,237.1,204.9,224.5,252.9,269.7,274.9,222.8,248.2,234.5,237.5,213.0,156.0,323.0,,342.2,317.4,194.2,326.0,,169.2,331.0,263.0,334.0,339.0,271.8,273.0,269.801,275.21,238.4,192.936,220.9
Bounce Wheel Rate,31.0,20.6,30.0,28.0,25.2,33.1,22.4,31.8,33.7,31.9,29.5,20.2,45.7,35.5,26.3,22.2,32.3,33.1,31.8,34.2,26.8,32.5,24.2,28.9,32.79,38.85,54.202,36.023,20.303,24.93,37.01,28.54,22.86,37.5,42.7,40.67,37.06,50.02,37.25,43.59,24.02,25.36,35.64,31.13,29.2,19.39,21.54,27.09,29.22,36.77,29.35,35.47,28.96,30.07,30.44,13.92,43.12,40.88,48.64,48.3,34.07,53.45,36.75,18.47,55.25,28.1,39.6,34.6,30.28,31.7,38.301,38.7363,40.93,20.973,29.9
Bounce Wheel Recession,155.0,-22.0,104.2,152.0,96.1,-81.1,-46.2,-54.0,98.2,96.6,-23.0,-60.2,-99.8,106.9,118.6,-22.1,-51.0,-73.6,92.9,-155.4,49.6,97.9,68.0,60.84,82.38,76.0,73.0,68.0,58.0,-9.969,189.4,9.57,-208.4,84.74,97.9,67.32,97.35,103.8,136.7,132.9,98.72,152.1,-13.07,-96.9,-73.71,-25.13,-12.8,60.55,8.309,65.92,67.54,78.86,100.5,-141.4,-39.32,60.39,82.59,35.16,87.72,-47.91,37.13,99.68,130.1,206.8,70.73,134.0,75.0,51.0,56.72,127.0,58.0,-23.106,20.0,93.0,193.0
