Unnamed: 0,"TOYOTA 
RAV4EU
2013","PSA
4008
2017","GEELY
BOYUE
2018","YEMA
 T70
2016","YEMA
BOJUN
2017","BMW
325Li
2021","TOYOTA 
CAMRY2.5
2018","BUICK
ENVISION
2019","BYD
Yuan
2019","CHANGAN
CS75plus
2020","HONDA
AVANCIER
2020","Great Wall
ORA R1
2019","TESLA
Model 3
2019","CHANGAN
CS75
2016","ROEWE
EI5
2018","CHERY
RUIHU7
2007","HOZON
Neta U
2019","HOZON
Neta S
2022","TOYOTA
RAV4
2017","BYD
Song EV300
2017","HONDA
CIVIC
2020","BAIC
C20
2015","LiFan
X60
2015
curb","LiFan
X60
2015
Full","BMW 
325i
2021 
Curb","BMW
X1","BMW 
X5","BMW
X7","BMW
520i","VW
Passat
2018","BYD
HAN EV","VW
Tiguan
2012","VW
GOLF VII
2015","Tesla
Model X
2017","Tesla
Model Y
2020","JAGUAR
I-PACE
EV400","BMW 
325i
2018 ","VW
ID 4","Ford
EDGE
2015","AUDI
Q5
2018","ChangAn
EADO
2011","ChangAn
RAETON
2011","Chevrolet
BOLT
2017","FORD
Eco Sport
2013","Geely
BoYue
2016","GreetWall
M4
2014","HONDA
XRV
2017","Hyundai
iX35
2014","MAZDA
ATENZA
2018","TOYOTA
ALPHARD
2017","GAC
Trumpchi GS4
2016","QoRos
CF16
2015","MAZDA
CX5
2015","NISSAN
E-Leaf
2015","NISSAN
QASHQAI
2012","SUZUKI
Alzo 8
2017","Tesla
Model S
2017","GAC
GM8
2020","BMW 
X3
2012","NISSAN
NAVARA
2017","LongRiver
EV01
2016","Xpeng
P7
2020","Merceds
E320
2019","VW
UP
2015","JAGUAR
F-PACE
2016","AUDI
A6L
2014","AUDI
Q7
2017","HONDA
CRV
2012","SKODA
KODIAQ
2017","VW
Tiguan L
2017","VW
Teramont
2019","JiangLing
YuSheng S350
2016","TOYOTA
Hilux
2014","TOYOTA
Yaris
2017","QOROS
CF11
2012"
Longitudinal Compliance,2.5,1.1,1.8,1.3,0.9,1.4,4.2,2.4,0.5,1.3,2.5,1.5,0.3,2.2,0.64,2.8,3.4,1.2,1.5,1.9,2.1,2.0,1.15,1.16,1.413,1.0,2.0,2.0,0.5529,2.094,1.496,2.899,0.7175,0.63,0.368,1.182,1.616,1.126,4.296,1.21,0.8627,4.542,0.9016,0.5193,1.681,0.5589,1.116,3.836,1.817,3.911,2.431,2.96,1.875,0.3941,2.384,4.882,0.268,2.04,1.574,1.022,2.305,1.201,0.9414,0.8609,1.1186,2.2123893805309733,1.35,1.0253,1.975,2.42,1.89791,0.464,2.375,0.52,0.8347
Longitudinal Camber,0.03435,,,,,,,,,,,,,,,,,,,,,,0.0012,0.0044,0.037,0.0327,0.03618,0.03361,-0.05955,0.001854,0.001529,0.03434,-0.02735,-0.0086,-0.003,0.002829,0.02906,-0.02298,0.08868,0.008414,0.00374,-0.03393,-0.08375,-0.06176,0.06004,-0.05721,-0.06239,0.003319,0.03196,0.1054,0.02314,0.01827,0.05532,-0.01205,-0.004359,-0.08651,0.007344,,-0.00452,-0.0009695,-0.0325,0.02428,0.006445,-0.03645,,,0.015,0.022,,0.036,0.01846,0.0030175,0.00919,-0.05,-0.035
Longitudinal Steer,-0.06,-0.04,-0.03,-0.02,0.04,-0.06,-0.11,-0.03,0.05,-0.04,-0.06,0.07,-0.02,-0.03,0.02,-0.07,-0.11,-0.07,-0.04,-0.06,-0.02,-0.04,-0.003,-0.0044,-0.059,-0.01606,-0.06152,-0.05803,0.06805,0.0002173,-0.007873,-0.06451,0.02353,0.02,-0.033,-0.02146,-0.06405,-0.02914,-0.1497,-0.05219,0.05091,-0.1015,0.07828,0.07083,-0.03069,-0.09549,0.04917,-0.1464,-0.01614,-0.04511,-0.04816,-0.1156,-0.001208,0.0452,-0.04137,0.06053,0.007237,-0.02,-0.04571,0.03986,0.02438,-0.06114,-0.1122,0.05823,0.028417,-0.125,-0.039,-0.0876,-0.007667,-0.013,-0.0559,-0.030021,-0.02468,0.08,0.0476
Anti-Dive ,25.8,33.6,24.2,24.6,27.6,20.3,31.7,30.7,34.2,24.3,29.4,35.5,19.7,25.4,27.5,30.8,31.8,12.1,25.7,9.3,25.5,24.8,,,19.049,,,,,30.1,14.01,29.85,23.29,17.78,,25.89,18.72,,23.35,20.21,30.07,10.9,35.59,34.23,26.89,34.15,35.71,31.43,27.9,30.44,32.98,31.24,32.8,29.79,23.5,36.19,15.62,30.99,19.02,12.06,45.8,11.68,17.63,23.46,25.2,,,6.3,27.67,,27.0057,27.845,,29.82,22.9
