Unnamed: 0,"TOYOTA 
RAV4EU
2013","PSA
4008
2017","GEELY
BOYUE
2018","YEMA
 T70
2016","YEMA
BOJUN
2017","BMW
325Li
2021","TOYOTA 
CAMRY2.5
2018","BUICK
ENVISION
2019","BYD
Yuan
2019","CHANGAN
CS75plus
2020","HONDA
AVANCIER
2020","Great Wall
ORA R1
2019","TESLA
Model 3
2019","CHANGAN
CS75
2016","ROEWE
EI5
2018","CHERY
RUIHU7
2007","HOZON
Neta U
2019","HOZON
Neta S
2022","TOYOTA
RAV4
2017","BYD
Song EV300
2017","HONDA
CIVIC
2020","BAIC
C20
2015","LiFan
X60
2015
curb","LiFan
X60
2015
Full","BMW 
325i
2021 
Curb","BMW
X1","BMW 
X5","BMW
X7","BMW
520i","VW
Passat
2018","BYD
HAN EV","VW
Tiguan
2012","VW
GOLF VII
2015","Tesla
Model X
2017","Tesla
Model Y
2020","JAGUAR
I-PACE
EV400","BMW 
325i
2018 ","VW
ID 4","Ford
EDGE
2015","AUDI
Q5
2018","ChangAn
EADO
2011","ChangAn
RAETON
2011","Chevrolet
BOLT
2017","FORD
Eco Sport
2013","Geely
BoYue
2016","GreetWall
M4
2014","HONDA
XRV
2017","Hyundai
iX35
2014","MAZDA
ATENZA
2018","TOYOTA
ALPHARD
2017","GAC
Trumpchi GS4
2016","QoRos
CF16
2015","MAZDA
CX5
2015","NISSAN
E-Leaf
2015","NISSAN
QASHQAI
2012","SUZUKI
Alzo 8
2017","Tesla
Model S
2017","GAC
GM8
2020","BMW 
X3
2012","NISSAN
NAVARA
2017","LongRiver
EV01
2016","Xpeng
P7
2020","Merceds
E320
2019","VW
UP
2015","JAGUAR
F-PACE
2016","AUDI
A6L
2014","AUDI
Q7
2017","HONDA
CRV
2012","SKODA
KODIAQ
2017","VW
Tiguan L
2017","VW
Teramont
2019","JiangLing
YuSheng S350
2016","TOYOTA
Hilux
2014","TOYOTA
Yaris
2017","QOROS
CF11
2012"
Lateral Compliance,0.26,2.14,0.19,0.26,1.11,0.36,0.37,0.27,2.53,0.19,0.3,2.97,0.2,0.16,,0.35,0.26,0.53,0.17,0.49,0.31,0.18,0.57,0.32,0.369,0.3823,1.0,0.6698,2.0,0.3686,0.4212,0.2035,2.032,0.4,0.22,0.3674,0.4423,0.2706,0.2981,0.4001,2.423,0.4758,2.158,1.895,0.2146,1.292,1.995,0.1988,0.4211,0.5289,0.2718,0.2892,0.4889,1.62,0.5477,,0.2652,0.1233,0.3899,3.601,0.9676,0.4038,0.485,2.144,0.5333,,0.39,0.2185,0.2916,0.156,0.20644,1.4605,2.941,2.03,0.365
Lateral Camber,-0.23,-0.21,-0.23,-0.232,-0.281,-0.157,-0.278,-0.17,-0.202,-0.277,-0.255,-0.232,-0.134,-0.215,-0.184,-0.373,-0.285,-0.154,-0.195,-0.274,-0.213,-0.228,-0.301,-0.302,-0.1605,-0.1898,-0.1435,-0.1486,-0.2273,-0.2448,-0.2327,-0.2223,-0.1879,-0.1335,-0.14,-0.1103,-0.1987,-0.1713,-0.2403,-0.187,-0.2631,-0.313,-0.1643,-0.204,-0.2447,-0.2782,-0.1621,-0.3765,-0.2376,-0.2813,-0.1857,-0.1821,-0.2837,-0.195,-0.2002,-0.3525,-0.1173,-0.1931,-0.1636,-0.1752,-0.3323,-0.219,-0.1694,-0.2445,-0.1234,-0.272,-0.211,-0.156,-0.2148,-0.3,-0.18369,-0.40686,-0.2918,-0.24,-0.215
Lateral Steer,-0.063,-0.035,-0.055,-0.043,0.055,-0.038,-0.084,-0.049,0.003,-0.041,-0.061,-0.011,-0.006,-0.038,0.083,-0.145,-0.085,-0.026,-0.057,-0.032,-0.069,-0.038,-0.042,-0.033,-0.02389,-0.01619,-0.03375,-0.03679,0.002758,-0.03719,-0.02046,-0.08503,0.1082,0.0172,0.01,-0.05312,-0.03169,-0.04676,-0.04442,-0.01522,0.07982,-0.1126,0.02597,0.02015,-0.05083,0.0619,0.01341,-0.05318,-0.08,-0.06952,-0.01596,-0.01186,-0.08303,0.01779,-0.01599,0.2184,0.00914,-0.01605,-0.03663,0.0205,0.06935,-0.05632,-0.03658,0.1349,-0.03618,-0.0248,-0.024,-0.0334,-0.05911,-0.056,-0.02251,-0.029063,0.009095,0.02,0.0821
