Unnamed: 0,"TOYOTA 
RAV4EU
2013","PSA
4008
2017","GEELY
BOYUE
2018","YEMA
 T70
2016","YEMA
BOJUN
2017","BMW
325Li
2021","TOYOTA 
CAMRY2.5
2018","BUICK
ENVISION
2019","BYD
Yuan
2019","CHANGAN
CS75plus
2020","HONDA
AVANCIER
2020","Great Wall
ORA R1
2019","TESLA
Model 3
2019","CHANGAN
CS75
2016","ROEWE
EI5
2018","CHERY
RUIHU7
2007","HOZON
Neta U
2019","HOZON
Neta S
2022","TOYOTA
RAV4
2017","BYD
Song EV300
2017","HONDA
CIVIC
2020","BAIC
C20
2015","LiFan
X60
2015
curb","LiFan
X60
2015
Full","BMW 
325i
2021 
Curb","BMW
X1","BMW 
X5","BMW
X7","BMW
520i","VW
Passat
2018","BYD
HAN EV","VW
Tiguan
2012","VW
GOLF VII
2015","Tesla
Model X
2017","Tesla
Model Y
2020","JAGUAR
I-PACE
EV400","BMW 
325i
2018 ","VW
ID 4","Ford
EDGE
2015","AUDI
Q5
2018","ChangAn
EADO
2011","ChangAn
RAETON
2011","Chevrolet
BOLT
2017","FORD
Eco Sport
2013","Geely
BoYue
2016","GreetWall
M4
2014","HONDA
XRV
2017","Hyundai
iX35
2014","MAZDA
ATENZA
2018","TOYOTA
ALPHARD
2017","GAC
Trumpchi GS4
2016","QoRos
CF16
2015","MAZDA
CX5
2015","NISSAN
E-Leaf
2015","NISSAN
QASHQAI
2012","SUZUKI
Alzo 8
2017","Tesla
Model S
2017","GAC
GM8
2020","BMW 
X3
2012","NISSAN
NAVARA
2017","LongRiver
EV01
2016","Xpeng
P7
2020","Merceds
E320
2019","VW
UP
2015","JAGUAR
F-PACE
2016","AUDI
A6L
2014","AUDI
Q7
2017","HONDA
CRV
2012","SKODA
KODIAQ
2017","VW
Tiguan L
2017","VW
Teramont
2019","JiangLing
YuSheng S350
2016","TOYOTA
Hilux
2014","TOYOTA
Yaris
2017","QOROS
CF11
2012"
Roll Camber Angle,-0.77,-0.47,-0.65,-0.76,0.53,-0.69,-0.65,,,-0.79,-0.56,-0.48,-0.75,-0.79,-0.5,-0.31,-0.7,-0.63,-0.76,-0.26,-0.63,-0.78,-0.364,-0.35,-0.68,-0.634,-0.685,-0.661,0.66,-0.7809,-0.7827,-0.7353,-0.5611,-0.65,-0.743,-0.6433,-0.6984,-0.7042,-0.6711,-0.7109,-0.5435,-0.7453,-0.5279,-0.5022,-0.6648,-0.6516,-0.5297,-0.6943,-0.6809,-0.5836,-0.7566,-0.7279,-0.6868,-0.5354,-0.6066,-0.4965,-0.6699,,-0.5993,-0.0706,-0.9507,-0.6944,-0.6719,-0.5887,-0.5893,,-0.819,,-0.2227,-0.787,-0.24,-0.8901,-0.8973,-0.55,
Roll Camber Disp,66.0,39.2,59.3,65.2,45.0,22.9,53.5,-31.2,-45.2,69.7,45.0,45.0,62.7,67.5,43.2,-25.4,61.9,50.4,66.5,-22.3,53.8,70.4,,,-24.5,56.0,56.0,49.0,-56.0,67.09,65.0,65.22,50.18,48.4,,52.94,57.53,61.19,57.62,63.8,47.63,66.13,48.48,46.29,61.77,58.89,46.55,58.61,56.17,50.8,67.87,63.2,60.17,47.24,54.04,47.8,52.93,-27.12,47.55,5.645,97.87,57.55,53.87,65.19,56.2,15.9,,17.3,,,75.94,70.62,73.0,40.0,-42.1
Roll Steer Angle,-0.048,0.08,0.003,-0.076,-0.091,-0.048,-0.067,,,-0.03,-0.06,-0.052,-0.043,-0.027,-0.12,-0.05,-0.045,-0.091,-0.045,0.002,-0.054,-0.046,-0.0496,0.0304,-0.0476,-0.006,-0.007,-0.01,0.001,-0.01651,-0.04389,-0.01278,-0.1471,-0.0007,0.0268,-0.02261,-0.0409,-0.01611,-0.05125,-0.06041,-0.09404,-0.003492,-0.06466,-0.0595,-0.03226,0.001013,-0.1032,-0.08997,-0.05216,-0.03416,-0.0242,-0.07879,-0.01204,-0.09508,-0.08187,-0.04264,-0.06357,,-0.04882,-0.0532,-0.09591,-0.02825,-0.03232,-0.1462,-0.0645,,-0.0405,,-0.01448,-0.0105,-0.04388,0.01067,-0.01874,0.08,
Roll Steer Disp,3.7,-6.8,0.5,5.1,7.7,2.3,5.6,2.7,5.4,2.8,5.2,4.5,4.6,3.2,10.0,3.7,3.8,5.6,4.1,0.76,4.6,3.9,,,3.532,3.0,1.0,2.0,5.0,1.427,3.685,1.423,13.97,0.1,,1.745,3.424,1.363,4.494,5.387,8.137,0.2618,5.943,5.49,-0.03226,-0.00111,9.09,6.902,4.293,3.095,2.377,6.586,1.067,8.394,7.463,4.104,5.077,4.08,4.156,4.231,10.02,2.295,2.762,16.08,4.44,2.84,,3.2,,,3.66,-0.8788,1.511,-10.0,10.4
Roll Center Height,,,112.0,143.0,187.0,133.0,155.0,104.0,130.0,,136.0,80.0,96.0,,135.0,127.0,,79.3,83.8,195.0,,94.7,154.0,100.9,133.04,136.887,138.052,143.522,195.997,173.0,160.9,120.6,151.7,193.8,120.0,171.0,156.9,106.1,176.0,133.1,140.4,173.3,149.8,149.1,134.2,98.62,175.0,139.2,123.1,170.7,140.5,107.9,198.0,148.2,145.1,152.4,165.3,128.8,118.0,364.0,134.9,90.96,148.8,139.4,,164.0,202.0,96.0,,184.0,,362.53,427.6,207.62,146.0
Roll Stiffness,814.0,725.0,1013.0,676.0,674.3,633.0,784.8,990.0,984.0,890.0,875.0,484.7,1032.0,654.0,738.6,621.3,958.6,925.2,816.1,986.4,809.3,843.5,621.5,662.2,633.338,991.514,1409.0,1182.0,552.055,835.7,1243.0,859.5,641.9,1100.0,1058.0,1399.0,742.1,1266.0,1307.0,1337.0,614.1,810.2,824.0,870.5,991.0,504.1,626.2,895.5,728.3,1100.0,792.7,1002.0,897.1,704.7,827.2,212.3,1191.0,1191.0,1138.0,561.5,557.4,1082.0,940.8,554.7,1428.1,682.0,1284.0,1091.0,973.7,984.0,1343.0,674.3,431.6,507.77,738.0
Suspension Roll Stiffness,952.0,,1256.0,777.0,778.5,708.0,878.8,1182.0,1246.0,1068.0,1017.0,567.2,1186.0,,866.7,,1160.0,1050.0,,,958.4,,,,707.514,1191.0,1688.0,1349.0,625.247,,,,754.0,,1228.0,,,1532.0,1630.0,1662.0,,,991.8,1048.0,,,724.1,1062.0,825.4,1327.0,,1206.0,1082.0,,,,1392.0,,,610.1,,1253.0,,,1741.0,,1526.0,1404.0,,1175.0,,,,,868.0
Roll Wheel Rate,45.0,38.77,60.1,37.5,36.84,31.7,41.0,54.0,62.5,50.0,43.0,31.8,55.1,36.0,41.2,33.5,53.3,42.3,45.9,56.8,45.3,49.3,41.3,44.9,28.38,56.598,69.791,53.099,30.611,46.29,64.32,49.25,38.37,47.77,45.1,71.11,38.9,71.83,69.12,74.86,34.21,47.0,50.48,52.5,59.2,31.84,36.29,47.82,38.24,60.84,46.07,54.76,49.91,41.36,47.99,15.46,56.08,64.0,57.83,28.25,41.71,55.19,51.05,42.9,73.43,34.8,,67.0,54.27,,64.67,32.91,23.41,27.44,39.1
